booking_date,country_code,network,funding_source,card_type,transaction_regionality,total_value_eur,total_fee_eur,adyen_interchange_eur,previous_issuer_eur
2020-04-28,NL,MasterCard,CREDIT,Standard,INTER_REGIONAL,10.81,0.1217,0.2072,0.1043
2020-04-01,GB,visa,DEBIT,Commercial,INTER_REGIONAL,71.99,0.7742,1.2469,0.6139
2020-04-25,DE,visa,CREDIT,Premium,DOMESTIC,38.53,0.5415,0.7888,0.3362
2020-04-26,NL,visa,DEBIT,Super Premium,INTER_REGIONAL,95.77,0.5011,0.9779,0.343
2020-04-06,NL,MasterCard,CREDIT,Fleet,INTRA_REGIONAL,18.96,0.2471,0.377,0.1614
2020-04-23,GB,MasterCard,CREDIT,Premium,INTER_REGIONAL,14.83,0.2122,0.4216,0.1546
2020-04-14,GB,MasterCard,DEBIT,other,INTRA_REGIONAL,133.53,1.7712,2.7561,1.5386
2020-04-11,NL,visa,CREDIT,Standard,INTER_REGIONAL,328.58,3.1164,4.7823,2.1771
2020-04-09,GB,MasterCard,CREDIT,Corporate,INTER_REGIONAL,118.9,1.1824,1.5916,0.9044
2020-04-05,NL,MasterCard,DEBIT,Standard,INTER_REGIONAL,69.17,0.4158,0.5685,0.3369
2020-04-07,NL,MasterCard,CREDIT,Standard,INTER_REGIONAL,168.93,2.5114,4.0168,1.7861
2020-04-25,US,MasterCard,CREDIT,Super Premium,INTER_REGIONAL,2.87,0.0404,0.0561,0.0302
2020-04-11,NL,visa,DEBIT,Standard,INTER_REGIONAL,217.9,2.5041,4.7499,1.9407
2020-04-04,US,visa,DEBIT,Purchasing,INTER_REGIONAL,36.0,0.5375,0.7305,0.4118
2020-04-03,US,visa,CREDIT,Super Premium,INTRA_REGIONAL,107.79,1.2154,2.1482,1.0578
2020-04-13,NL,visa,CREDIT,Fleet,INTRA_REGIONAL,5.79,0.0398,0.0665,0.0281
2020-04-04,DE,visa,CREDIT,other,INTRA_REGIONAL,84.84,0.879,1.3604,0.742
2020-04-12,GB,visa,CREDIT,Purchasing,DOMESTIC,80.67,0.7407,1.5156,0.6369
2020-04-28,NL,visa,DEBIT,Corporate,DOMESTIC,194.8,1.267,2.2493,0.905
2020-04-12,US,MasterCard,CREDIT,Premium,INTRA_REGIONAL,29.07,0.3967,0.7737,0.357
2020-04-20,US,MasterCard,CREDIT,other,DOMESTIC,30.98,0.2315,0.3844,0.1479
2020-04-09,US,MasterCard,DEBIT,Super Premium,INTRA_REGIONAL,12.26,0.1436,0.2465,0.1194
2020-04-26,DE,MasterCard,CREDIT,Commercial,DOMESTIC,23.0,0.2078,0.2924,0.1265
2020-04-02,GB,MasterCard,CREDIT,Standard,INTER_REGIONAL,4.15,0.0389,0.0787,0.0274
2020-04-24,DE,MasterCard,DEBIT,Commercial,DOMESTIC,187.39,2.7163,3.8508,2.3848
2020-04-15,DE,visa,DEBIT,other,INTRA_REGIONAL,127.38,0.9428,1.2829,0.6021
2020-04-18,NL,visa,DEBIT,Commercial,INTER_REGIONAL,5.87,0.0496,0.1001,0.0368
2020-04-04,GB,visa,DEBIT,Standard,INTER_REGIONAL,12.45,0.0733,0.1024,0.0541
2020-04-30,NL,visa,DEBIT,Super Premium,INTER_REGIONAL,16.93,0.22,0.3965,0.1374
2020-04-13,US,MasterCard,DEBIT,Standard,INTRA_REGIONAL,13.69,0.0971,0.155,0.0724
2020-04-03,DE,visa,DEBIT,Super Premium,INTER_REGIONAL,66.38,0.4995,0.9344,0.4338
2020-04-18,DE,visa,DEBIT,Premium,INTRA_REGIONAL,12.52,0.1098,0.1445,0.0765
2020-04-10,NL,visa,DEBIT,Fleet,INTRA_REGIONAL,11.18,0.1318,0.2546,0.0988
2020-04-27,NL,visa,CREDIT,Super Premium,INTRA_REGIONAL,20.79,0.1794,0.3259,0.1384
2020-04-21,NL,MasterCard,CREDIT,Standard,INTER_REGIONAL,14.85,0.0969,0.145,0.0628
2020-04-20,NL,visa,DEBIT,Fleet,INTER_REGIONAL,1.64,0.0243,0.0338,0.0175
2020-04-29,US,MasterCard,CREDIT,Standard,INTER_REGIONAL,75.31,0.8801,1.7985,0.6751
2020-04-28,DE,visa,CREDIT,Standard,INTER_REGIONAL,46.33,0.344,0.4788,0.2694
2020-04-12,NL,MasterCard,DEBIT,Premium,INTRA_REGIONAL,1.23,0.0068,0.0107,0.0044
2020-04-19,NL,MasterCard,DEBIT,Corporate,INTER_REGIONAL,124.91,1.3686,2.2955,0.9903
2020-04-07,NL,MasterCard,CREDIT,other,INTER_REGIONAL,83.59,1.0289,2.1099,0.6733
2020-04-23,NL,MasterCard,CREDIT,Purchasing,INTER_REGIONAL,16.23,0.1077,0.1542,0.0909
2020-04-03,GB,visa,DEBIT,Fleet,INTRA_REGIONAL,67.09,0.8833,1.4586,0.6299
2020-04-02,DE,visa,CREDIT,Premium,INTER_REGIONAL,24.85,0.2593,0.5251,0.2041
2020-04-22,NL,MasterCard,CREDIT,Standard,INTER_REGIONAL,88.92,1.1506,2.0665,0.8745
2020-04-08,US,MasterCard,DEBIT,Standard,INTER_REGIONAL,202.7,2.7907,4.3916,2.362
2020-04-25,NL,MasterCard,DEBIT,Premium,INTRA_REGIONAL,53.65,0.3487,0.5173,0.2848
2020-04-10,GB,MasterCard,CREDIT,Premium,INTER_REGIONAL,9.3,0.131,0.2314,0.0944
2020-04-03,DE,MasterCard,DEBIT,Commercial,INTRA_REGIONAL,17.89,0.1988,0.2613,0.1713
2020-04-28,US,MasterCard,CREDIT,other,INTRA_REGIONAL,44.71,0.4948,0.8111,0.4062
2020-04-08,US,MasterCard,DEBIT,Standard,DOMESTIC,8.43,0.1129,0.158,0.0989
2020-04-28,US,visa,CREDIT,Premium,INTER_REGIONAL,119.72,0.6041,0.9465,0.4346
2020-04-04,DE,MasterCard,DEBIT,Standard,INTRA_REGIONAL,16.46,0.1567,0.2319,0.1153
2020-04-13,NL,visa,DEBIT,Premium,DOMESTIC,121.09,1.3711,1.7968,1.0956
2020-04-09,NL,MasterCard,DEBIT,Premium,INTER_REGIONAL,3.62,0.0542,0.0922,0.0422
2020-04-15,NL,MasterCard,DEBIT,Fleet,INTER_REGIONAL,723.36,4.0921,7.8586,3.0117
2020-04-21,DE,visa,DEBIT,Commercial,INTER_REGIONAL,8.77,0.0598,0.119,0.0529
2020-04-27,NL,visa,CREDIT,Premium,INTER_REGIONAL,59.29,0.6871,0.9081,0.458
2020-04-12,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,13.1,0.0889,0.162,0.0597
2020-04-06,NL,visa,CREDIT,Purchasing,DOMESTIC,238.81,1.6836,2.5835,1.4629
2020-04-12,NL,visa,DEBIT,Standard,INTER_REGIONAL,9.89,0.1071,0.1753,0.0929
2020-04-12,US,visa,DEBIT,Premium,INTRA_REGIONAL,82.07,0.7464,1.3,0.5455
2020-04-07,NL,MasterCard,CREDIT,Standard,DOMESTIC,6.08,0.06,0.1209,0.0504
2020-04-22,NL,visa,DEBIT,Premium,INTRA_REGIONAL,15.68,0.2093,0.4369,0.1586
2020-04-09,NL,visa,DEBIT,other,INTER_REGIONAL,20.05,0.2158,0.3279,0.1654
2020-04-23,GB,MasterCard,DEBIT,Standard,INTER_REGIONAL,231.51,2.6972,3.8848,2.3582
2020-04-30,NL,visa,DEBIT,Standard,INTER_REGIONAL,218.02,2.6992,3.6878,2.1079
2020-04-22,NL,visa,DEBIT,Standard,INTRA_REGIONAL,65.94,0.6436,1.1784,0.567
2020-04-21,GB,visa,DEBIT,Standard,INTRA_REGIONAL,4.04,0.0223,0.0378,0.0174
2020-04-03,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,354.26,3.3117,4.958,2.8008
2020-04-20,GB,MasterCard,DEBIT,Commercial,INTER_REGIONAL,31.29,0.1851,0.3765,0.1187
2020-04-21,US,visa,DEBIT,Premium,DOMESTIC,88.24,1.0225,1.8955,0.874
2020-04-06,NL,visa,DEBIT,other,DOMESTIC,69.57,0.3753,0.6997,0.3294
2020-04-18,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,56.6,0.8326,1.7113,0.618
2020-04-24,US,MasterCard,DEBIT,Purchasing,INTER_REGIONAL,25.64,0.2811,0.4172,0.1788
2020-04-08,NL,MasterCard,DEBIT,Super Premium,INTER_REGIONAL,54.33,0.7012,1.0904,0.5524
2020-04-06,US,MasterCard,DEBIT,Standard,DOMESTIC,3.27,0.017,0.034,0.0129
2020-04-15,US,MasterCard,CREDIT,Standard,INTRA_REGIONAL,17.96,0.2025,0.4048,0.1813
2020-04-13,GB,visa,DEBIT,Super Premium,INTER_REGIONAL,1.68,0.0103,0.0163,0.0071
2020-04-09,NL,visa,DEBIT,Standard,DOMESTIC,3.25,0.0383,0.0565,0.0339
2020-04-30,GB,visa,DEBIT,Fleet,DOMESTIC,7.78,0.0753,0.1348,0.049
2020-04-21,US,visa,CREDIT,Commercial,INTRA_REGIONAL,5.03,0.034,0.0502,0.0223
2020-04-23,GB,visa,DEBIT,other,DOMESTIC,36.19,0.5167,1.083,0.337
2020-04-18,NL,MasterCard,CREDIT,Standard,DOMESTIC,14.21,0.1474,0.2615,0.1141
2020-04-08,NL,MasterCard,DEBIT,Standard,DOMESTIC,14.23,0.2071,0.4121,0.1746
2020-04-22,GB,MasterCard,DEBIT,Premium,INTER_REGIONAL,95.67,0.9528,1.3004,0.6346
2020-04-11,GB,visa,CREDIT,Premium,INTRA_REGIONAL,10.58,0.1156,0.2265,0.0814
2020-04-27,GB,MasterCard,DEBIT,Fleet,INTRA_REGIONAL,101.45,1.3871,2.5893,1.1806
2020-04-25,GB,MasterCard,CREDIT,Super Premium,INTER_REGIONAL,54.93,0.7585,1.5151,0.4618
2020-04-25,US,visa,DEBIT,Super Premium,INTER_REGIONAL,54.7,0.5511,0.7192,0.3781
2020-04-02,DE,MasterCard,CREDIT,Standard,INTRA_REGIONAL,53.54,0.5568,1.0712,0.352
2020-04-08,GB,visa,CREDIT,Standard,INTRA_REGIONAL,40.88,0.2321,0.3576,0.1886
2020-04-27,NL,MasterCard,DEBIT,Commercial,INTER_REGIONAL,54.07,0.7416,1.5416,0.6605
2020-04-02,GB,visa,CREDIT,Standard,INTER_REGIONAL,28.3,0.3595,0.6639,0.2638
2020-04-26,NL,MasterCard,DEBIT,Premium,INTER_REGIONAL,2.88,0.0373,0.0692,0.0249
2020-04-11,NL,MasterCard,CREDIT,Standard,DOMESTIC,25.36,0.3661,0.5989,0.2898
2020-04-13,NL,visa,CREDIT,Premium,DOMESTIC,8.36,0.061,0.0897,0.0372
2020-04-09,GB,visa,CREDIT,Premium,DOMESTIC,45.77,0.5843,1.1199,0.4987
2020-04-03,GB,MasterCard,DEBIT,Standard,DOMESTIC,25.13,0.2806,0.5436,0.2089
2020-04-07,NL,visa,CREDIT,Premium,INTER_REGIONAL,13.61,0.1473,0.2232,0.1236
2020-04-30,NL,visa,DEBIT,Standard,INTRA_REGIONAL,32.55,0.319,0.5678,0.2193
2020-04-19,GB,MasterCard,CREDIT,Standard,INTRA_REGIONAL,24.14,0.3589,0.5075,0.2691
2020-04-29,DE,MasterCard,CREDIT,Standard,INTER_REGIONAL,20.41,0.2077,0.2846,0.1465
2020-04-23,NL,visa,DEBIT,Standard,INTRA_REGIONAL,108.49,0.7596,1.0893,0.4796
2020-04-11,DE,MasterCard,DEBIT,other,INTER_REGIONAL,69.96,0.7285,1.3603,0.6275
2020-04-07,GB,MasterCard,DEBIT,Corporate,INTER_REGIONAL,37.99,0.5004,0.8316,0.3969
2020-04-21,DE,MasterCard,DEBIT,Standard,INTER_REGIONAL,103.56,0.683,1.3642,0.4547
2020-04-16,US,visa,DEBIT,Corporate,INTRA_REGIONAL,1162.13,14.1687,21.0088,12.7362
2020-04-13,US,MasterCard,DEBIT,Super Premium,INTER_REGIONAL,29.49,0.1565,0.2357,0.1156
2020-04-29,US,MasterCard,CREDIT,Premium,INTER_REGIONAL,5.08,0.0622,0.1051,0.0536
2020-04-30,US,visa,DEBIT,Commercial,DOMESTIC,365.8,2.5996,4.6751,2.0523
2020-04-21,GB,visa,CREDIT,other,INTER_REGIONAL,48.84,0.4846,0.7258,0.4173
2020-04-15,NL,visa,DEBIT,Commercial,INTER_REGIONAL,23.34,0.208,0.4317,0.1409
2020-04-05,GB,visa,CREDIT,Standard,DOMESTIC,5.12,0.0294,0.0422,0.0222
2020-04-09,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,23.88,0.2882,0.4132,0.1874
2020-04-05,NL,MasterCard,CREDIT,Premium,DOMESTIC,51.17,0.7001,1.0254,0.4436
2020-04-08,NL,visa,CREDIT,other,INTER_REGIONAL,157.35,0.9789,1.6267,0.8616
2020-04-24,NL,visa,DEBIT,Standard,DOMESTIC,39.14,0.5354,0.8908,0.4041
2020-04-18,DE,MasterCard,DEBIT,Standard,INTER_REGIONAL,57.0,0.6867,1.0036,0.5508
2020-04-18,US,visa,CREDIT,Premium,DOMESTIC,63.86,0.8545,1.7566,0.6879
2020-04-09,DE,MasterCard,CREDIT,Commercial,INTER_REGIONAL,11.02,0.1577,0.292,0.1266
2020-04-24,NL,MasterCard,DEBIT,Commercial,INTER_REGIONAL,110.63,1.4187,2.4879,1.1655
2020-04-19,US,visa,DEBIT,Super Premium,INTRA_REGIONAL,24.46,0.3088,0.5985,0.2256
2020-04-14,US,visa,CREDIT,Standard,INTER_REGIONAL,7.14,0.0854,0.1376,0.0627
2020-04-29,NL,visa,DEBIT,Standard,INTRA_REGIONAL,4.61,0.0539,0.0968,0.0398
2020-04-19,NL,MasterCard,DEBIT,Premium,INTER_REGIONAL,8.26,0.0742,0.1309,0.0564
2020-04-13,DE,MasterCard,CREDIT,Super Premium,DOMESTIC,5.26,0.0273,0.0398,0.0164
2020-04-12,DE,MasterCard,DEBIT,other,INTER_REGIONAL,26.4,0.1588,0.2682,0.1075
2020-04-08,NL,visa,CREDIT,Premium,INTER_REGIONAL,64.31,0.7141,1.3375,0.4869
2020-04-05,NL,visa,DEBIT,Super Premium,INTER_REGIONAL,303.67,1.8429,3.2322,1.2476
2020-04-17,US,visa,CREDIT,Commercial,INTER_REGIONAL,43.24,0.49,1.01,0.3824
2020-04-16,US,MasterCard,DEBIT,Standard,INTRA_REGIONAL,131.54,1.8416,2.9148,1.2358
2020-04-03,GB,visa,CREDIT,Premium,INTRA_REGIONAL,23.08,0.1374,0.2472,0.1011
2020-04-25,DE,visa,CREDIT,Purchasing,INTER_REGIONAL,143.96,1.5068,2.2384,1.0808
2020-04-02,DE,visa,CREDIT,Standard,INTRA_REGIONAL,232.31,2.1008,3.4507,1.7127
2020-04-28,GB,MasterCard,DEBIT,Standard,INTRA_REGIONAL,4.72,0.0273,0.0374,0.0237
2020-04-04,NL,visa,DEBIT,Standard,INTER_REGIONAL,65.11,0.6635,0.8984,0.5574
2020-04-05,NL,visa,CREDIT,Commercial,INTRA_REGIONAL,8.11,0.0948,0.1986,0.0757
2020-04-21,DE,MasterCard,DEBIT,Standard,INTRA_REGIONAL,7.54,0.1099,0.1583,0.0887
2020-04-06,NL,visa,DEBIT,Premium,INTRA_REGIONAL,160.26,2.0761,4.2389,1.3918
2020-04-26,NL,visa,CREDIT,other,INTRA_REGIONAL,7.71,0.1035,0.1777,0.0815
2020-04-22,NL,MasterCard,DEBIT,Purchasing,INTRA_REGIONAL,9.16,0.0788,0.108,0.0694
2020-04-14,DE,visa,DEBIT,Premium,INTRA_REGIONAL,11.39,0.1157,0.2355,0.0867
2020-04-20,US,MasterCard,DEBIT,other,INTER_REGIONAL,19.56,0.2695,0.5375,0.2269
2020-04-03,GB,visa,DEBIT,Premium,INTER_REGIONAL,134.23,1.604,2.5293,1.4319
2020-04-13,DE,MasterCard,DEBIT,Purchasing,DOMESTIC,637.69,8.0656,11.6134,6.0554
2020-04-13,NL,visa,DEBIT,Standard,INTER_REGIONAL,23.1,0.1467,0.3037,0.1122
2020-04-20,US,visa,DEBIT,Premium,INTRA_REGIONAL,46.52,0.3331,0.5981,0.2648
2020-04-15,NL,visa,CREDIT,Premium,INTER_REGIONAL,12.78,0.191,0.2571,0.1544
2020-04-17,US,visa,DEBIT,Standard,INTER_REGIONAL,47.61,0.2677,0.4571,0.2407
2020-04-09,US,MasterCard,DEBIT,Commercial,INTRA_REGIONAL,15.59,0.1444,0.2028,0.125
2020-04-18,NL,visa,DEBIT,Premium,DOMESTIC,95.05,0.4857,0.7931,0.3616
2020-04-28,NL,visa,CREDIT,Standard,INTRA_REGIONAL,82.65,0.5911,0.7742,0.3974
2020-04-01,US,MasterCard,CREDIT,Premium,INTER_REGIONAL,3.15,0.0423,0.0583,0.0316
2020-04-22,NL,visa,CREDIT,Premium,INTER_REGIONAL,392.55,3.5113,5.8553,2.9337
2020-04-24,US,MasterCard,CREDIT,Standard,INTRA_REGIONAL,4.86,0.0652,0.0868,0.0568
2020-04-04,DE,MasterCard,CREDIT,Fleet,INTRA_REGIONAL,20.33,0.2265,0.3065,0.1711
2020-04-22,NL,MasterCard,DEBIT,Super Premium,INTER_REGIONAL,44.01,0.2518,0.3417,0.152
2020-04-29,US,MasterCard,DEBIT,Standard,INTER_REGIONAL,19.19,0.2446,0.4474,0.1603
2020-04-18,NL,visa,CREDIT,Super Premium,INTER_REGIONAL,68.62,0.6052,0.8863,0.3852
2020-04-25,DE,MasterCard,CREDIT,Premium,INTER_REGIONAL,159.71,2.3453,4.5475,1.6132
2020-04-09,US,MasterCard,CREDIT,Super Premium,DOMESTIC,11.89,0.0997,0.2036,0.0665
2020-04-25,NL,visa,DEBIT,Commercial,DOMESTIC,50.96,0.3775,0.5274,0.2489
2020-04-21,US,MasterCard,DEBIT,Corporate,DOMESTIC,90.48,0.8691,1.7153,0.7114
2020-04-11,GB,MasterCard,DEBIT,Premium,DOMESTIC,12.47,0.1792,0.2391,0.1164
2020-04-04,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,59.94,0.6247,1.1071,0.4701
2020-04-10,NL,MasterCard,CREDIT,Fleet,INTRA_REGIONAL,78.91,0.9952,1.4212,0.7349
2020-04-14,NL,visa,CREDIT,other,INTER_REGIONAL,155.33,1.0936,1.9073,0.8967
2020-04-06,DE,visa,DEBIT,Corporate,INTRA_REGIONAL,19.94,0.1007,0.1922,0.0615
2020-04-15,GB,visa,CREDIT,Premium,INTER_REGIONAL,19.2,0.2643,0.5543,0.1878
2020-04-01,NL,MasterCard,CREDIT,Commercial,INTRA_REGIONAL,12.37,0.1129,0.2096,0.0678
2020-04-24,DE,visa,CREDIT,Standard,INTRA_REGIONAL,472.06,2.6664,4.7035,2.049
2020-04-29,DE,MasterCard,CREDIT,Corporate,INTER_REGIONAL,23.21,0.3075,0.5223,0.1916
2020-04-24,NL,visa,CREDIT,Super Premium,INTRA_REGIONAL,1.19,0.0077,0.012,0.0056
2020-04-09,NL,visa,CREDIT,Super Premium,DOMESTIC,86.58,1.2408,2.2509,0.9013
2020-04-17,DE,MasterCard,DEBIT,Premium,DOMESTIC,139.54,1.5179,2.1973,1.0757
2020-04-25,NL,visa,DEBIT,Purchasing,INTER_REGIONAL,3.24,0.033,0.0508,0.0291
2020-04-06,NL,visa,CREDIT,Purchasing,INTER_REGIONAL,26.3,0.2585,0.3637,0.1614
2020-04-17,GB,visa,DEBIT,Super Premium,INTRA_REGIONAL,175.67,1.1575,2.0698,0.7415
2020-04-30,GB,MasterCard,CREDIT,Standard,INTER_REGIONAL,10.26,0.0766,0.1551,0.0517
2020-04-04,NL,MasterCard,DEBIT,Corporate,INTER_REGIONAL,11.35,0.1121,0.1487,0.0694
2020-04-28,US,visa,CREDIT,Premium,INTER_REGIONAL,44.54,0.4722,0.9678,0.2907
2020-04-21,NL,visa,CREDIT,other,INTER_REGIONAL,36.77,0.4244,0.619,0.3266
2020-04-10,DE,MasterCard,CREDIT,Standard,INTER_REGIONAL,19.84,0.149,0.2951,0.1145
2020-04-27,DE,visa,CREDIT,Super Premium,INTER_REGIONAL,17.28,0.2087,0.3621,0.1303
2020-04-21,DE,visa,DEBIT,other,DOMESTIC,19.34,0.1763,0.321,0.1346
2020-04-17,NL,visa,CREDIT,Premium,INTER_REGIONAL,369.45,4.7522,6.9434,3.22
2020-04-20,NL,visa,CREDIT,Premium,INTER_REGIONAL,21.49,0.2044,0.4268,0.17
2020-04-07,NL,visa,DEBIT,other,INTRA_REGIONAL,61.17,0.6104,0.845,0.4865
2020-04-05,US,visa,CREDIT,other,INTER_REGIONAL,3.68,0.0476,0.0839,0.0376
2020-04-12,GB,visa,CREDIT,Premium,INTER_REGIONAL,42.13,0.5038,0.9747,0.3502
2020-04-25,US,MasterCard,DEBIT,other,INTER_REGIONAL,17.19,0.2396,0.4369,0.1547
2020-04-06,NL,MasterCard,DEBIT,Fleet,INTRA_REGIONAL,17.83,0.1792,0.3716,0.13
2020-04-18,US,MasterCard,CREDIT,Standard,DOMESTIC,7.95,0.0408,0.0713,0.0309
2020-04-25,GB,MasterCard,DEBIT,Super Premium,INTER_REGIONAL,24.38,0.3311,0.6474,0.2524
2020-04-30,GB,visa,DEBIT,Purchasing,INTRA_REGIONAL,29.68,0.3942,0.6182,0.2571
2020-04-17,GB,MasterCard,DEBIT,Standard,INTER_REGIONAL,2.25,0.0191,0.0317,0.0158
2020-04-30,GB,MasterCard,DEBIT,Purchasing,INTRA_REGIONAL,34.66,0.2171,0.3997,0.1514
2020-04-01,GB,visa,DEBIT,Purchasing,INTER_REGIONAL,38.96,0.5209,0.7935,0.413
2020-04-20,GB,visa,DEBIT,Standard,INTER_REGIONAL,113.8,1.6368,3.2686,1.3582
2020-04-11,GB,MasterCard,DEBIT,other,INTRA_REGIONAL,6.82,0.0723,0.1004,0.0531
2020-04-16,DE,MasterCard,CREDIT,Premium,DOMESTIC,26.44,0.1433,0.2711,0.1254
2020-04-01,NL,MasterCard,DEBIT,other,INTRA_REGIONAL,10.69,0.1395,0.1834,0.124
2020-04-04,GB,visa,CREDIT,Standard,DOMESTIC,49.77,0.518,0.7134,0.3484
2020-04-30,NL,visa,DEBIT,Commercial,INTER_REGIONAL,15.26,0.1221,0.2313,0.075
2020-04-12,US,MasterCard,CREDIT,Commercial,DOMESTIC,79.93,0.4274,0.7549,0.3841
2020-04-29,US,visa,DEBIT,Purchasing,INTRA_REGIONAL,15.19,0.0934,0.1284,0.0815
2020-04-27,GB,MasterCard,CREDIT,Commercial,INTRA_REGIONAL,3.77,0.0352,0.0676,0.0275
2020-04-26,US,visa,CREDIT,Commercial,INTRA_REGIONAL,14.5,0.1744,0.2598,0.1314
2020-04-10,NL,visa,DEBIT,Commercial,DOMESTIC,195.37,1.9659,3.5529,1.2214
2020-04-08,NL,visa,DEBIT,Standard,INTER_REGIONAL,68.95,0.5356,1.1126,0.3746
2020-04-02,DE,visa,CREDIT,Standard,INTER_REGIONAL,25.9,0.1315,0.194,0.0803
2020-04-08,NL,visa,CREDIT,Commercial,INTRA_REGIONAL,33.39,0.2649,0.5418,0.1905
2020-04-29,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,32.39,0.3894,0.8155,0.249
2020-04-19,NL,visa,DEBIT,Premium,DOMESTIC,120.47,1.4625,2.6125,1.0132
2020-04-03,US,MasterCard,CREDIT,Standard,INTRA_REGIONAL,39.4,0.4675,0.6506,0.3343
2020-04-03,DE,visa,DEBIT,Premium,INTRA_REGIONAL,15.84,0.0904,0.1233,0.0639
2020-04-24,US,MasterCard,CREDIT,Premium,INTRA_REGIONAL,42.44,0.583,1.0956,0.3709
2020-04-16,US,visa,CREDIT,Standard,INTER_REGIONAL,82.33,0.7591,1.166,0.5661
